Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
KANG,"iKang Healthcare Group, Inc.",18.9,970189088.4,51332756.0,2014.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/kang,
IKNX,Ikonics Corporation,10.0301,19895234.9453,,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/iknx,
ILG,"ILG, Inc",35.28,4389386389.92,,,Finance,Real Estate,https://www.nasdaq.com/symbol/ilg,
ILMN,"Illumina, Inc.",340.6,50068200000.0,,2000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/ilmn,
ISNS,"Image Sensing Systems, Inc.",6.0,31618854.0,,1995.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/isns,
IMMR,Immersion Corporation,11.43,351706266.36,,1999.0,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/immr,
ICCC,ImmuCell Corporation,6.97,38221584.16,,1987.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/iccc,
IMDZ,Immune Design Corp.,3.35,161352173.8,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imdz,
IMGN,"ImmunoGen, Inc.",9.24,1376957024.52,,1989.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imgn,
IMMU,"Immunomedics, Inc.",22.28,4023133599.28,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/immu,
IMRN,Immuron Limited,9.75,3372310.5,345878.0,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imrn,
IMRNW,Immuron Limited,3.6,0.0,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imrnw,
IMMP,Immutep Limited,2.52,18596579.4,7379595.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/immp,
IMPV,"Imperva, Inc.",47.2,1651715242.4,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/impv,
PI,"Impinj, Inc.",20.41,436484892.35,,2016.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/pi,
IMMY,"Imprimis Pharmaceuticals, Inc.",3.15,66305761.2,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/immy,
IMV,IMV Inc.,5.0,224466720.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imv,
INCY,Incyte Corporation,70.08,14897427625.92,,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/incy,
INDB,Independent Bank Corp.,90.35,2488088928.65,,,Finance,Major Banks,https://www.nasdaq.com/symbol/indb,
IBCP,Independent Bank Corporation,25.15,607394003.25,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ibcp,
IBTX,"Independent Bank Group, Inc",70.5,2148497934.0,,2013.0,Finance,Major Banks,https://www.nasdaq.com/symbol/ibtx,
INDU,Industrea Acquisition Corp.,9.95,68483511.75,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/indu,
INDUU,Industrea Acquisition Corp.,10.58,0.0,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/induu,
INDUW,Industrea Acquisition Corp.,0.6789,0.0,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/induw,
ILPT,Industrial Logistics Properties Trust,23.99,1559829800.0,,2018.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ilpt,
IDSA,"Industrial Services of America, Inc.",2.25,18242696.25,,,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/idsa,
INFN,Infinera Corporation,9.11,1393742525.78,,2007.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/infn,
INFI,"Infinity Pharmaceuticals, Inc.",2.04,115975117.92,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/infi,
IFRX,InflaRx N.V.,31.49,808099529.0,,2017.0,,,https://www.nasdaq.com/symbol/ifrx,
III,"Information Services Group, Inc.",4.3,193939627.7,,,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/iii,
IEA,"Infrastructure and Energy Alternatives, Inc.",10.48,226133772.0,,2016.0,Finance,Business Services,https://www.nasdaq.com/symbol/iea,
IEAWW,"Infrastructure and Energy Alternatives, Inc.",1.4469999999999998,0.0,,2016.0,Finance,Business Services,https://www.nasdaq.com/symbol/ieaww,
IMKTA,"Ingles Markets, Incorporated",36.35,736442857.6,,1987.0,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/imkta,
INWK,"InnerWorkings, Inc.",7.5,391283250.0,,2006.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/inwk,
INOD,Innodata Inc.,1.27,32864366.58,,1993.0,Technology,EDP Services,https://www.nasdaq.com/symbol/inod,
IPHS,"Innophos Holdings, Inc.",44.39,870421048.66,,2006.0,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/iphs,
IOSP,Innospec Inc.,77.8,1899601443.8,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iosp,
INNT,"Innovate Biopharmaceuticals, Inc.",5.04,129968682.48,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/innt,
ISSC,"Innovative Solutions and Support, Inc.",2.71,45638023.29,,2000.0,Technology,EDP Services,https://www.nasdaq.com/symbol/issc,
